category,store,menu,price,minprice,delivTip,expDelivTime,openingHours
한식,한우궁,전통육개장,8000,8000,2000~3000,55~70분,"평일, 일요일 - 오전 9:40 ~ 오후 8:30
매주 토요일 휴무"
한식,한우궁,육개장칼국수,8000,8000,2000~3001,55~70분,"평일, 일요일 - 오전 9:40 ~ 오후 8:30
매주 토요일 휴무"
한식,한우궁,사골떡만두국,7500,8000,2000~3002,55~70분,"평일, 일요일 - 오전 9:40 ~ 오후 8:30
매주 토요일 휴무"
한식,예산닭갈비감자탕,1인닭갈비메뉴,13000,10000,2000,30~45분,"매일 - 낮 12:00 ~ 오후 11:00
연중무휴"
한식,예산닭갈비감자탕,1인순대곱창볶음메뉴,13000,10000,2000,30~45분,"매일 - 낮 12:00 ~ 오후 11:00
연중무휴"
한식,예산닭갈비감자탕,뼈해장국,8000,10000,2000,30~45분,"매일 - 낮 12:00 ~ 오후 11:00
연중무휴"
한식,큰맘할매순대국,버섯순두부,9000,7000,3000,30~45분,"매일 - 24시간 운영
매주일요일 10시 ~ 다음날 05시까지 휴무"
한식,큰맘할매순대국,순대국,8000,7000,3000,30~45분,"매일 - 24시간 운영
매주일요일 10시 ~ 다음날 05시까지 휴무"
한식,큰맘할매순대국,뼈해장국,10000,7000,3000,30~45분,"매일 - 24시간 운영
매주일요일 10시 ~ 다음날 05시까지 휴무"
한식,제육보스,1인제육세트,14000,13000,0,35~50분,"평일, 토요일 - 오전 11:00 ~ 새벽 2:00
일요일 - 밤 12:00 ~ 새벽 2:00"
한식,제육보스,빨간돼지껍데기세트,13000,13000,0,35~50분,"평일, 토요일 - 오전 11:00 ~ 새벽 2:00
일요일 - 밤 12:00 ~ 새벽 2:00"
한식,제육보스,제육덮밥,8000,13000,0,35~50분,"평일, 토요일 - 오전 11:00 ~ 새벽 2:00
일요일 - 밤 12:00 ~ 새벽 2:00"
한식,한솥도시락,돈치스팸김치찌개정식,9000,10000,1000,30~45분,"평일 - 오전 9:00 ~ 오후 8:00
토요일,일요일 - 오전 9:00 ~ 오후3:00"
한식,한솥도시락,제육김치찌개정식,9000,10000,1000,30~45분,"평일 - 오전 9:00 ~ 오후 8:00
토요일,일요일 - 오전 9:00 ~ 오후3:00"
한식,한솥도시락,치킨마요김치찌개정식,7300,10000,1000,30~45분,"평일 - 오전 9:00 ~ 오후 8:00
토요일,일요일 - 오전 9:00 ~ 오후3:00"
중식,라화쿵부,마라탕,10000~,10000,0~3000,43~58분,"평일 - 오전 11:00 ~ 오후 9:30
토요일 -  오전 10:30 ~ 오후 9:40
일요일 - 오전 10:30 ~ 오후 9:30"
중식,라화쿵부,마라샹궈,20000~,10000,0~3000,43~58분,"평일 - 오전 11:00 ~ 오후 9:30
토요일 -  오전 10:30 ~ 오후 9:40
일요일 - 오전 10:30 ~ 오후 9:30"
중식,라화쿵부,꿔바로우,19000,10000,0~3000,43~58분,"평일 - 오전 11:00 ~ 오후 9:30
토요일 -  오전 10:30 ~ 오후 9:40
일요일 - 오전 10:30 ~ 오후 9:30"
중식,홍성마라미방,마라탕,15000,15000,2000,9~24분,"매일 - 오전 10:30 ~ 오후 9:40
연중무휴"
중식,홍성마라미방,마라샹궈,20000,15000,2000,9~24분,"매일 - 오전 10:30 ~ 오후 9:40
연중무휴"
중식,홍성마라미방,꿔바로우,9000~17000,15000,2000,9~24분,"매일 - 오전 10:30 ~ 오후 9:40
연중무휴"
중식,마시내탕수육,1인김치피자탕수육,9900,13900,1000,49~64분,"평일, 토요일 - 낮 12:20 ~ 밤 12:00
일요일 - 낮 12:20 ~ 오후 11:30
연중무휴"
